smiles,logS,weight
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89,1.0
COc1ccc(C=O)c(C(=O)O)c1OC,-1.92,1.0
COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,-1.61,1.0
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-5.09,1.0
COc1ccc(NC(C)=O)cc1,-1.3,1.0
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,-3.28,1.0
COc1ccc([N+](=O)[O-])cc1,-2.41,1.0
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,-4.22,1.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)C=Cc1ccccc1,-5.54,1.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-4.62,1.0
COc1ccc2c(c1O)C13CCN(C)C1(C=CC(=O)C3)CC2,-1.87,1.0
COc1ccc2c(c1OC)C(=O)OC2,-1.89,1.0
COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,-3.14,1.0
COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3,-4.11,1.0
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,-1.52,1.0
COc1ccc2cc(C(C)C(=O)O)ccc2c1,-4.16,1.0
COc1ccc2ccc(=O)oc2c1CC=C(C)C,-4.31,1.0
COc1ccccc1,-1.85,1.0
COc1ccccc1[N+](=O)[O-],-1.96,1.0
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,-2.58,1.0
COc1cnc2cncnc2n1,-0.91,1.0
CSCCC(N)C(=O)O,-0.42,1.0
CSc1cnc2cncnc2n1,-1.55,1.0
CSc1ncnc2nccnc12,-2.36,1.0
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-2.48,1.0
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-0.63,1.0
Cc1c(N)c(=O)n(-c2ccccc2)n1C,-0.62,1.0
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-7.02,1.0
Cc1c2ccccc2c(C)c2ccccc12,-6.57,1.0
Cc1c2ccccc2cc2ccccc12,-5.89,1.0
Cc1c[nH]c(=O)[nH]c1=O,-1.52,1.0
Cc1cc(=O)[nH]c(=O)[nH]1,-1.26,1.0
Cc1cc(=O)[nH]c(=S)[nH]1,-2.43,1.0
Cc1cc(=O)n(-c2ccccc2)n1C,0.39,1.0
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,-2.27,1.0
Cc1cc(Cl)ccc1N=CN(C)C,-2.86,1.0
Cc1cc(Cl)ccc1OC(C)C(=O)O,-2.55,1.0
Cc1cc(Cl)ccc1OCC(=O)O,-2.23,1.0
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.24,1.0
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,-2.62,1.0
Cc1cc(O)c2ccccc2n1,-1.2,1.0
Cc1cc(O)cc(C)c1Cl,-2.8,1.0
Cc1cc(O)ccc1OP(=O)(Oc1cc(O)ccc1C)Oc1c(C)cccc1O,-6.7,1.0
Cc1cc(O)no1,-0.07,1.0
Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09,1.0
Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-3.8,1.0
Cc1cc2ccccc2cc1C,-4.72,1.0
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-3.68,1.0
Cc1ccc(C(=O)O)cc1,-2.6,1.0
Cc1ccc(C(C)C)c(O)c1,-2.22,1.0
Cc1ccc(C(C)C)cc1,-3.77,1.0
Cc1ccc(C(C)C)cc1O,-2.08,1.0
Cc1ccc(C)c(C)c1,-3.31,1.0
Cc1ccc(C)c2c(C)cccc12,-4.92,1.0
Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,-5.47,1.0
Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-4.21,1.0
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,-3.68,1.0
Cc1ccc(S(N)(=O)=O)cc1,-1.74,1.0
Cc1ccc([N+](=O)[O-])cc1,-2.49,1.0
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,-7.92,1.0
Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,-3.68,1.0
Cc1cccc(C(=O)O)c1,-2.14,1.0
Cc1cccc(C)c1NC(=O)C1CCCCN1C,-1.55,1.0
Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,-3.79,1.0
Cc1cccc(Nc2ccccc2C(=O)O)c1C,-3.78,1.0
Cc1cccc(Oc2cccc(C)c2)c1,-4.85,1.0
Cc1cccc([N+](=O)[O-])c1,-2.44,1.0
Cc1cccc2c(C)cccc12,-4.74,1.0
Cc1cccc2c1Cc1ccccc1-2,-5.22,1.0
Cc1ccccc1C(=O)O,-2.06,1.0
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.78,1.0
Cc1ccccc1S(N)(=O)=O,-2.02,1.0
Cc1ccccc1[N+](=O)[O-],-2.33,1.0
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,-2.85,1.0
Cc1ccnc2c1ccc1c(C)ccnc12,-3.97,1.0
Cc1ccsc1,-2.39,1.0
Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,-2.82,1.0
Cc1cnc(S)nc1O,-2.45,1.0
Cc1cnc2cncnc2n1,0.06,1.0
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95,1.0
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,-2.44,1.0
Cc1nc2ccccc2[nH]1,-1.96,1.0
Cc1ncc([N+](=O)[O-])n1CCO,-1.26,1.0
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-2.41,1.0
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-4.08,1.0
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,-2.91,1.0
Cc1occc1C(=O)Nc1ccccc1,-3.3,1.0
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,1.0
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl,-6.36,1.0
ClC(Cl)=CC(Cl)=C(Cl)Cl,-4.23,1.0
ClC(Cl)Br,-1.54,1.0
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,-5.18,1.0
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,-6.86,1.0
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-6.32,1.0
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-7.33,1.0
ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,-6.29,1.0
ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,-5.64,1.0
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-11.62,1.0
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,-7.92,1.0
Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-10.26,1.0
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-9.16,1.0
Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,-7.16,1.0
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl,-7.92,1.0
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,-8.71,1.0
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32,1.0
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-8.56,1.0
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,-8.32,1.0
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-6.14,1.0
Clc1cc(Cl)c(-c2ccccc2)cc1Cl,-6.27,1.0
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,-10.41,1.0
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15,1.0
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,1.0
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,1.0
Clc1cc(Cl)c2nsnc2c1Cl,-4.98,1.0
Clc1cc(Cl)cc(Cl)c1,-4.48,1.0
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-8.3,1.0
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl,-7.66,1.0
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-7.82,1.0
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-7.39,1.0
Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-6.57,1.0
Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-6.25,1.0
Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,-7.8,1.0
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-8.01,1.0
Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56,1.0
Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,-6.51,1.0
Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,-6.21,1.0
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.26,1.0
Clc1ccc(-c2ccccc2)c(Cl)c1,-5.25,1.0
Clc1ccc(-c2ccccc2)cc1,-5.2,1.0
Clc1ccc(-c2ccccc2)cc1Cl,-6.39,1.0
Clc1ccc(-c2ccccc2Cl)cc1,-5.28,1.0
Clc1ccc(-c2ccccc2Cl)cc1Cl,-6.29,1.0
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-8.08,1.0
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-7.2,1.0
Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,-6.62,1.0
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.51,1.0
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,-8.94,1.0
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,-7.42,1.0
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,-8.65,1.0
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,-6.8,1.0
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-7.68,1.0
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,-7.89,1.0
Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,-7.0,1.0
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,1.0
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,-7.91,1.0
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47,1.0
Clc1ccc(Cl)c(-c2ccccc2)c1Cl,-6.29,1.0
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,-6.02,1.0
Clc1ccc(Cl)cc1,-3.27,1.0
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6,1.0
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl,-8.42,1.0
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,1.0
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,-7.05,1.0
Clc1cccc(-c2cccc(Cl)c2)c1,-5.8,1.0
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-7.28,1.0
Clc1cccc(-c2ccccc2)c1,-4.88,1.0
Clc1cccc(C(Cl)(Cl)Cl)n1,-3.76,1.0
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-7.39,1.0
Clc1cccc(Cl)c1-c1ccccc1,-5.21,1.0
Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl,-7.43,1.0
Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1Cl,-7.21,1.0
Clc1ccccc1-c1ccccc1,-4.54,1.0
Clc1ccccc1-c1ccccc1Cl,-5.27,1.0
Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O,-1.56,1.0
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.97,1.0
Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,-0.17,1.0
Cn1c(=O)c2nc[nH]c2n(C)c1=O,-1.37,1.0
Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82,1.0
Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,-4.44,1.0
Cn1ccc(=O)[nH]c1=O,-0.8,1.0
Cn1ccccc1=O,0.96,1.0
FC(F)(F)c1cccc(C(c2ccccc2)(c2ccccc2)n2cncn2)c1,-8.4,1.0
Ic1[nH]c(I)c(I)c1I,-3.46,1.0
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,1.0
N#CN=C(N)N,-0.31,1.0
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,1.0
N#Cc1c(Cl)cccc1Cl,-4.24,1.0
N#Cc1cc(Br)c(O)c(Br)c1,-3.33,1.0
N#Cc1cc(I)c(O)c(I)c1,-3.61,1.0
N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,-3.98,1.0
N#Cc1ccccc1C#N,-2.38,1.0
N=C(N)NCC(=O)O,-1.51,1.0
N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.99,1.0
N=C(N)N[N+](=O)[O-],-1.37,1.0
NC(=O)CC(N)C(=O)O,-0.74,1.0
NC(=O)CCC(N)C(=O)O,-0.55,1.0
NC(=O)OCc1ccccc1,-0.35,1.0
NC(=O)c1ccccc1O,-1.76,1.0
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.23,1.0
NC(Cc1c[nH]cn1)C(=O)O,-0.53,1.0
NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,-2.86,1.0
NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,-5.22,1.0
NC(Cc1ccc(O)c(O)c1)C(=O)O,-1.6,1.0
NC(Cc1ccc(O)cc1)C(=O)O,-2.57,1.0
NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,-0.5,1.0
NCCCCCCCCCCC(=O)O,-2.7,1.0
NCc1ccccc1,-1.53,1.0
NNC(=O)Nc1ccccc1,-2.33,1.0
NNC(=O)c1ccncc1,0.01,1.0
NNc1ccccc1,0.07,1.0
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-3.66,1.0
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,-3.59,1.0
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-3.05,1.0
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,-2.68,1.0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-2.62,1.0
NS(=O)(=O)c1ccccc1,-1.56,1.0
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,-2.75,1.0
Nc1cc(Cl)cc(C(=O)O)c1Cl,-2.47,1.0
Nc1cc2c3ccccc3ccc2c2ccccc12,-6.2,1.0
Nc1cc[nH]c(=O)n1,-1.14,1.0
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,-4.92,1.0
Nc1ccc(-c2ccc(N)cc2)cc1,-2.7,1.0
Nc1ccc(C(=O)O)cc1,-0.4,1.0
Nc1ccc(O)cc1,-0.8,1.0
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,-2.7,1.0
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,-2.32,1.0
Nc1ccc(S(=O)(=O)Nc2cnccn2)cc1,-3.7,1.0
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-3.51,1.0
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-2.43,1.0
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-2.82,1.0
Nc1ccc(S(N)(=O)=O)cc1,-1.36,1.0
Nc1ccc([N+](=O)[O-])cc1,-2.37,1.0
Nc1cccc(C(F)(F)F)c1,-1.47,1.0
Nc1cccc([N+](=O)[O-])c1,-2.19,1.0
Nc1ccccc1C(=O)O,-1.52,1.0
Nc1ccccc1[N+](=O)[O-],-1.96,1.0
Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.12,1.0
Nc1cnn(-c2ccccc2)c(=O)c1Cl,-2.87,1.0
Nc1nccs1,-0.36,1.0
Nc1ncnc2[nH]cnc12,-2.12,1.0
Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-1.95,1.0
O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,-3.46,1.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-4.43,1.0
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81,1.0
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-6.02,1.0
O=C(NC(=O)c1ccccc1)c1ccccc1,-2.27,1.0
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-2.11,1.0
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7,1.0
O=C(Nc1cccc(Cl)c1)OCC#CCCl,-4.37,1.0
O=C(Nc1ccccc1)Nc1ccccc1,-3.15,1.0
O=C(Nc1ccccc1)c1ccccc1I,-4.21,1.0
O=C(Nc1ccccc1)c1ccccc1O,-3.59,1.0
O=C(O)C(=O)O,0.38,1.0
O=C(O)C(CO)c1ccccc1,-0.93,1.0
O=C(O)C(O)(c1ccccc1)c1ccccc1,-2.21,1.0
O=C(O)C(c1ccccc1)c1ccccc1,-3.22,1.0
O=C(O)C1C2CCC(O2)C1C(=O)O,-0.27,1.0
O=C(O)C1CCCCC1,-1.45,1.0
O=C(O)C=Cc1c[nH]cn1,-1.96,1.0
O=C(O)C=Cc1ccccc1,-2.48,1.0
O=C(O)CC(O)(CC(=O)O)C(=O)O,0.51,1.0
O=C(O)CCC(=O)O,-0.2,1.0
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,-5.06,1.0
O=C(O)CCCC(=O)O,1.0,1.0
O=C(O)CCCCC(=O)O,-0.82,1.0
O=C(O)CCCCCCCC(=O)O,-1.89,1.0
O=C(O)CCCOc1ccc(Cl)cc1Cl,-3.67,1.0
O=C(O)CCI,-0.43,1.0
O=C(O)CCc1ccccc1,-1.41,1.0
O=C(O)CCl,0.93,1.0
O=C(O)CNC(=O)c1ccccc1,-1.68,1.0
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,-2.96,1.0
O=C(O)COc1ccc(Cl)cc1,-2.29,1.0
O=C(O)COc1ccc(Cl)cc1Cl,-2.51,1.0
O=C(O)COc1ccccc1,-1.1,1.0
O=C(O)COc1ccccc1Cl,-2.16,1.0
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,-3.08,1.0
O=C(O)Cc1c[nH]c2ccccc12,-2.07,1.0
O=C(O)Cc1cccc2ccccc12,-2.65,1.0
O=C(O)Cc1ccccc1,-0.89,1.0
O=C(O)Cn1c(=O)sc2cccc(Cl)c21,-2.61,1.0
O=C(O)c1cc(=O)[nH]c(=O)[nH]1,-1.93,1.0
O=C(O)c1cc(I)cc(I)c1O,-3.31,1.0
O=C(O)c1cc(O)c(O)c(O)c1,-1.16,1.0
O=C(O)c1ccc(Cl)cc1,-3.31,1.0
O=C(O)c1ccc(O)cc1,-1.41,1.0
O=C(O)c1ccc([N+](=O)[O-])cc1,-2.8,1.0
O=C(O)c1cccc(Cl)c1,-2.59,1.0
O=C(O)c1cccc(I)c1,-3.27,1.0
O=C(O)c1cccc([N+](=O)[O-])c1,-1.68,1.0
O=C(O)c1ccccc1,-1.55,1.0
O=C(O)c1ccccc1-c1ccccc1C(=O)O,-2.28,1.0
O=C(O)c1ccccc1C(=O)O,-2.11,1.0
O=C(O)c1ccccc1C(F)(F)F,-1.6,1.0
O=C(O)c1ccccc1Cl,-1.89,1.0
O=C(O)c1ccccc1I,-2.73,1.0
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,-4.36,1.0
O=C(O)c1ccccc1O,-1.82,1.0
O=C(O)c1cccnc1,-0.84,1.0
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,-4.17,1.0
O=C(O)c1ccco1,-0.48,1.0
O=C(O)c1ccsc1,-1.47,1.0
O=C(Oc1ccccc1)c1ccccc1O,-3.15,1.0
O=C(c1ccccc1)C(O)c1ccccc1,-2.85,1.0
O=C(c1ccccc1)c1ccccc1,-3.12,1.0
O=C1C(Cl)=C(NC(=O)C(Cl)Cl)C(=O)c2ccccc21,-5.03,1.0
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,-5.4,1.0
O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O,-2.7,1.0
O=C1C=CC(O)(c2cc(O)ccc2O)C=C1,-1.73,1.0
O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,-3.62,1.0
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,-3.32,1.0
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-3.38,1.0
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,-3.8,1.0
O=C1NC(=O)C(=O)C(=O)N1,-1.25,1.0
O=C1NC(=O)C(=O)N1,-0.4,1.0
O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,-1.99,1.0
O=C1NC(=O)C([N+](=O)[O-])C(=O)N1,-2.28,1.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-3.99,1.0
O=C1NC(=O)c2ccccc21,-2.61,1.0
O=C1NCCN1c1ncc([N+](=O)[O-])s1,-3.22,1.0
O=C1NS(=O)(=O)c2ccccc21,-1.64,1.0
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,-3.6,1.0
O=C1OC(=O)c2ccccc21,-1.39,1.0
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-2.9,1.0
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,-2.78,1.0
O=C1c2ccccc2C(=O)c2ccccc21,-5.19,1.0
O=CNC(N1CCN(C(NC=O)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl,-4.19,1.0
O=Cc1ccc(O)cc1,-0.96,1.0
O=Cc1ccc2c(c1)OCO2,-1.63,1.0
O=Cc1ccccc1O,-0.86,1.0
O=Cc1ccco1,-0.1,1.0
O=NN(c1ccccc1)c1ccccc1,-3.75,1.0
O=S(=O)(CCCl)CCCl,-1.5,1.0
O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,-2.63,1.0
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.22,1.0
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.82,1.0
O=[N+]([O-])c1ccc(C=NO)o1,-2.19,1.0
O=[N+]([O-])c1ccc(O)cc1,-0.74,1.0
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46,1.0
O=[N+]([O-])c1cccc(O)c1,-1.01,1.0
O=[N+]([O-])c1cccc2ccccc12,-3.54,1.0
O=[N+]([O-])c1ccccc1,-1.8,1.0
O=[N+]([O-])c1ccccc1O,-1.74,1.0
O=c1[nH]cc(F)c(=O)[nH]1,-1.07,1.0
O=c1[nH]cnc2nc[nH]c12,-2.29,1.0
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.08,1.0
O=c1cc[nH]c(=O)[nH]1,-1.48,1.0
O=c1cc[nH]c(=S)[nH]1,-2.26,1.0
O=c1ccc2ccccc2[nH]1,-2.14,1.0
O=c1ccc2ccccc2o1,-1.89,1.0
O=c1cccc2n1CC1CNCC2C1,0.36,1.0
O=c1ccnc[nH]1,0.59,1.0
O=c1oc(-c2ccccc2)nc2ccccc12,-4.61,1.0
OC(Cc1ccccc1)c1ccccc1,-2.52,1.0
OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37,1.0
OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,-4.38,1.0
OC(c1ccccc1)C(O)c1ccccc1,-1.93,1.0
OC(c1ccccc1)c1ccccc1,-2.55,1.0
OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-5.46,1.0
OC1CCN2C1=Nc1ccccc1C2O,-2.07,1.0
OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,-1.84,1.0
OCC1(O)OCC(O)C(O)C1O,0.64,1.0
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23,1.0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-4.15,1.0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.16,1.0
OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85,1.0
Oc1c2ccccc2cc2ccccc12,-4.73,1.0
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-4.46,1.0
Oc1ccc(-c2ccccc2)cc1,-3.48,1.0
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,-3.95,1.0
Oc1ccc2c(c1)CCCC2,-1.99,1.0
Oc1cccc(Cl)c1,-0.7,1.0
Oc1cccc2c(O)cccc12,-2.92,1.0
Oc1cccc2ncccc12,-2.54,1.0
Oc1ccccc1,0.0,1.0
Oc1ccccc1-c1ccccc1,-2.39,1.0
Oc1ccccn1,1.02,1.0
Oc1ccncc1,1.02,1.0
Oc1ncnc2[nH]ncc12,-2.38,1.0
S=c1[nH]cnc2nccnc12,-2.77,1.0
S=c1cnc2cncnc2[nH]1,-2.71,1.0
S=c1ncc2nccnc2[nH]1,-2.36,1.0
Sc1nc2ccccc2s1,-3.18,1.0
[O-][S+](CCCl)CCCl,-1.16,1.0
c1cc(-c2ccncc2)ccn1,-1.54,1.0
c1cc2c3c(ccc4c3c1CCC4)CCC2,-5.96,1.0
c1cc2c3c(cccc3c1)CC2,-4.63,1.0
